ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,UCM5C1W48,Unknown,1,AIM2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A02,UCM5C1W48,Unknown,1,CCR3,Test,999,0,Fail,0.019540599,999,999,0,
S96-A03,UCM5C1W48,Unknown,1,CD4,Test,999,0,Fail,0.019540599,999,999,0,
S96-A04,UCM5C1W48,Unknown,1,CXCL10,Test,999,0,Fail,0.019540599,999,999,0,
S96-A05,UCM5C1W48,Unknown,1,GSK3A,Test,999,0,Fail,0.019540599,999,999,0,
S96-A06,UCM5C1W48,Unknown,1,IFIT3,Test,999,0,Fail,0.019540599,999,999,0,
S96-A07,UCM5C1W48,Unknown,1,IL2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A08,UCM5C1W48,Unknown,1,IL5RA,Test,999,0,Fail,0.019540599,999,999,0,
S96-A09,UCM5C1W48,Unknown,1,ISG15,Test,999,0,Fail,0.019540599,999,999,0,
S96-A10,UCM5C1W48,Unknown,1,PPARA,Test,999,0,Fail,0.019540599,999,999,0,
S96-A11,UCM5C1W48,Unknown,1,SOCS3,Test,999,0,Fail,0.019540599,999,999,0,
S96-A12,UCM5C1W48,Unknown,1,TNFAIP3,Test,24.2147176,1,Fail,0.019540599,84.0999633,999,1,
S96-A13,UCM5C1W48,Unknown,1,B2M,Test,999,0,Fail,0.019540599,999,999,0,
S96-A14,UCM5C1W48,Unknown,1,CCR4,Test,16.21372444,0,Fail,0.019540599,999,77.07560917,0,
S96-A15,UCM5C1W48,Unknown,1,CD40,Test,999,0,Fail,0.019540599,999,999,0,
S96-A16,UCM5C1W48,Unknown,1,CXCL9,Test,999,0,Fail,0.019540599,999,999,0,
S96-A17,UCM5C1W48,Unknown,1,GSK3B,Test,999,0,Fail,0.019540599,999,999,0,
S96-A18,UCM5C1W48,Unknown,1,IFNAR1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A19,UCM5C1W48,Unknown,1,IL21,Test,999,0,Fail,0.019540599,999,999,0,
S96-A20,UCM5C1W48,Unknown,1,IL7,Test,999,0,Fail,0.019540599,999,999,0,
S96-A21,UCM5C1W48,Unknown,1,JAK1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A22,UCM5C1W48,Unknown,1,PPARG,Test,999,0,Fail,0.019540599,999,999,0,
S96-A23,UCM5C1W48,Unknown,1,STAT1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A24,UCM5C1W48,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.019540599,999,999,0,
S96-A25,UCM5C1W48,Unknown,1,BCL2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A26,UCM5C1W48,Unknown,1,CCR5,Test,999,0,Fail,0.019540599,999,999,0,
S96-A27,UCM5C1W48,Unknown,1,CD44,Test,999,0,Fail,0.019540599,999,999,0,
S96-A28,UCM5C1W48,Unknown,1,CXCR3,Test,999,0,Fail,0.019540599,999,999,0,
S96-A29,UCM5C1W48,Unknown,1,HLA-DRA,Test,999,0,Fail,0.019540599,999,999,0,
S96-A30,UCM5C1W48,Unknown,1,IFNAR2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A31,UCM5C1W48,Unknown,1,IL25,Test,999,0,Fail,0.019540599,999,999,0,
S96-A32,UCM5C1W48,Unknown,1,IL7R,Test,999,0,Fail,0.019540599,999,999,0,
S96-A33,UCM5C1W48,Unknown,1,JAK2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A34,UCM5C1W48,Unknown,1,PPARGC1A,Test,999,0,Fail,0.019540599,999,999,0,
S96-A35,UCM5C1W48,Unknown,1,STAT3,Test,999,0,Fail,0.019540599,999,999,0,
S96-A36,UCM5C1W48,Unknown,1,TNFRSF1B,Test,999,0,Fail,0.019540599,999,999,0,
S96-A37,UCM5C1W48,Unknown,1,BCL6,Test,999,0,Fail,0.019540599,999,999,0,
S96-A38,UCM5C1W48,Unknown,1,CCR6,Test,999,0,Fail,0.019540599,999,999,0,
S96-A39,UCM5C1W48,Unknown,1,CD52,Test,999,0,Fail,0.019540599,999,999,0,
S96-A40,UCM5C1W48,Unknown,1,CXCR4,Test,999,0,Fail,0.019540599,999,999,0,
S96-A41,UCM5C1W48,Unknown,1,ICAM1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A42,UCM5C1W48,Unknown,1,IFNG,Test,999,0,Fail,0.019540599,999,999,0,
