ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,UCM6C1W48,Unknown,1,AIM2,Test,999,0,Fail,0.021197818,999,999,0,
S96-A02,UCM6C1W48,Unknown,1,CCR3,Test,17.37340862,1,Pass,0.021197818,78.010081,999,1,
S96-A03,UCM6C1W48,Unknown,1,CD4,Test,999,0,Fail,0.021197818,999,999,0,
S96-A04,UCM6C1W48,Unknown,1,CXCL10,Test,999,0,Fail,0.021197818,999,999,0,
S96-A05,UCM6C1W48,Unknown,1,GSK3A,Test,20.00961939,1,Pass,0.021197818,83.21247193,999,1,
S96-A06,UCM6C1W48,Unknown,1,IFIT3,Test,15.29900481,1,Pass,0.021197818,79.73159919,999,1,
S96-A07,UCM6C1W48,Unknown,1,IL2,Test,24.95892223,0,Fail,0.021197818,999,73.0979314,0,
S96-A08,UCM6C1W48,Unknown,1,IL5RA,Test,999,0,Fail,0.021197818,999,999,0,
S96-A09,UCM6C1W48,Unknown,1,ISG15,Test,999,0,Fail,0.021197818,999,999,0,
S96-A10,UCM6C1W48,Unknown,1,PPARA,Test,999,0,Fail,0.021197818,999,999,0,
S96-A11,UCM6C1W48,Unknown,1,SOCS3,Test,23.44476799,1,Pass,0.021197818,86.14723722,999,1,
S96-A12,UCM6C1W48,Unknown,1,TNFAIP3,Test,12.02240306,1,Pass,0.021197818,84.28302407,999,1,
S96-A13,UCM6C1W48,Unknown,1,B2M,Test,10.02888573,1,Pass,0.021197818,82.9174564,999,1,
S96-A14,UCM6C1W48,Unknown,1,CCR4,Test,17.46440571,0,Fail,0.021197818,999,76.5997143,0,
S96-A15,UCM6C1W48,Unknown,1,CD40,Test,999,0,Fail,0.021197818,999,999,0,
S96-A16,UCM6C1W48,Unknown,1,CXCL9,Test,999,0,Fail,0.021197818,999,999,0,
S96-A17,UCM6C1W48,Unknown,1,GSK3B,Test,16.51478267,1,Pass,0.021197818,81.1903222,999,1,
S96-A18,UCM6C1W48,Unknown,1,IFNAR1,Test,999,0,Fail,0.021197818,999,999,0,
S96-A19,UCM6C1W48,Unknown,1,IL21,Test,999,0,Fail,0.021197818,999,999,0,
S96-A20,UCM6C1W48,Unknown,1,IL7,Test,999,0,Fail,0.021197818,999,999,0,
S96-A21,UCM6C1W48,Unknown,1,JAK1,Test,14.32261085,1,Pass,0.021197818,81.99771677,999,1,
S96-A22,UCM6C1W48,Unknown,1,PPARG,Test,999,0,Fail,0.021197818,999,999,0,
