ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,EMPTY3,Unknown,1,AIM2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A02,EMPTY3,Unknown,1,CCR3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A03,EMPTY3,Unknown,1,CD4,Test,999,0,Fail,0.026130871,999,999,0,
S96-A04,EMPTY3,Unknown,1,CXCL10,Test,999,0,Fail,0.026130871,999,999,0,
S96-A05,EMPTY3,Unknown,1,GSK3A,Test,999,0,Fail,0.026130871,999,999,0,
S96-A06,EMPTY3,Unknown,1,IFIT3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A07,EMPTY3,Unknown,1,IL2,Test,21.0563396,0,Fail,0.026130871,999,999,0,
S96-A08,EMPTY3,Unknown,1,IL5RA,Test,999,0,Fail,0.026130871,999,999,0,
S96-A09,EMPTY3,Unknown,1,ISG15,Test,999,0,Fail,0.026130871,999,999,0,
S96-A10,EMPTY3,Unknown,1,PPARA,Test,999,0,Fail,0.026130871,999,999,0,
S96-A11,EMPTY3,Unknown,1,SOCS3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A12,EMPTY3,Unknown,1,TNFAIP3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A13,EMPTY3,Unknown,1,B2M,Test,999,0,Fail,0.026130871,999,999,0,
S96-A14,EMPTY3,Unknown,1,CCR4,Test,16.45904534,0,Fail,0.026130871,999,76.5393135,0,
S96-A15,EMPTY3,Unknown,1,CD40,Test,999,0,Fail,0.026130871,999,999,0,
S96-A16,EMPTY3,Unknown,1,CXCL9,Test,999,0,Fail,0.026130871,999,999,0,
S96-A17,EMPTY3,Unknown,1,GSK3B,Test,999,0,Fail,0.026130871,999,999,0,
S96-A18,EMPTY3,Unknown,1,IFNAR1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A19,EMPTY3,Unknown,1,IL21,Test,24.21932175,0,Fail,0.026130871,999,76.34696929,0,
S96-A20,EMPTY3,Unknown,1,IL7,Test,999,0,Fail,0.026130871,999,999,0,
S96-A21,EMPTY3,Unknown,1,JAK1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A22,EMPTY3,Unknown,1,PPARG,Test,999,0,Fail,0.026130871,999,999,0,
S96-A23,EMPTY3,Unknown,1,STAT1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A24,EMPTY3,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.026130871,999,999,0,
S96-A25,EMPTY3,Unknown,1,BCL2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A26,EMPTY3,Unknown,1,CCR5,Test,999,0,Fail,0.026130871,999,999,0,
S96-A27,EMPTY3,Unknown,1,CD44,Test,999,0,Fail,0.026130871,999,999,0,
S96-A28,EMPTY3,Unknown,1,CXCR3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A29,EMPTY3,Unknown,1,HLA-DRA,Test,28.47715862,0,Fail,0.026130871,999,999,0,
S96-A30,EMPTY3,Unknown,1,IFNAR2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A31,EMPTY3,Unknown,1,IL25,Test,999,0,Fail,0.026130871,999,999,0,
S96-A32,EMPTY3,Unknown,1,IL7R,Test,999,0,Fail,0.026130871,999,999,0,
S96-A33,EMPTY3,Unknown,1,JAK2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A34,EMPTY3,Unknown,1,PPARGC1A,Test,999,0,Fail,0.026130871,999,999,0,
S96-A35,EMPTY3,Unknown,1,STAT3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A36,EMPTY3,Unknown,1,TNFRSF1B,Test,27.466898,0,Fail,0.026130871,999,71.31734524,0,
S96-A37,EMPTY3,Unknown,1,BCL6,Test,999,0,Fail,0.026130871,999,999,0,
S96-A38,EMPTY3,Unknown,1,CCR6,Test,999,0,Fail,0.026130871,999,999,0,
S96-A39,EMPTY3,Unknown,1,CD52,Test,999,0,Fail,0.026130871,999,999,0,
S96-A40,EMPTY3,Unknown,1,CXCR4,Test,999,0,Fail,0.026130871,999,999,0,
S96-A41,EMPTY3,Unknown,1,ICAM1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A42,EMPTY3,Unknown,1,IFNG,Test,999,0,Fail,0.026130871,999,999,0,
S96-A43,EMPTY3,Unknown,1,IL2RA,Test,999,0,Fail,0.026130871,999,999,0,
S96-A44,EMPTY3,Unknown,1,IRF1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A45,EMPTY3,Unknown,1,LY6E,Test,999,0,Fail,0.026130871,999,999,0,
S96-A46,EMPTY3,Unknown,1,PTEN,Test,999,0,Fail,0.026130871,999,999,0,
S96-A47,EMPTY3,Unknown,1,STAT4,Test,999,0,Fail,0.026130871,999,999,0,
S96-A48,EMPTY3,Unknown,1,TRAF2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A54,EMPTY3,Unknown,1,IFNGR1,Test,25.04796474,0,Fail,0.026130871,999,78.14320323,0,
S96-A53,EMPTY3,Unknown,1,ICOS,Test,999,0,Fail,0.026130871,999,999,0,
S96-A52,EMPTY3,Unknown,1,FOXP3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A51,EMPTY3,Unknown,1,CD53,Test,999,0,Fail,0.026130871,999,999,0,
S96-A50,EMPTY3,Unknown,1,CCR7,Test,999,0,Fail,0.026130871,999,999,0,
S96-A49,EMPTY3,Unknown,1,C3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A60,EMPTY3,Unknown,1,TYK2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A59,EMPTY3,Unknown,1,STAT5B,Test,999,0,Fail,0.026130871,999,999,0,
S96-A58,EMPTY3,Unknown,1,RAC1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A57,EMPTY3,Unknown,1,NFKB1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A56,EMPTY3,Unknown,1,IRF2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A55,EMPTY3,Unknown,1,IL3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A66,EMPTY3,Unknown,1,IL10,Test,999,0,Fail,0.026130871,999,999,0,
S96-A65,EMPTY3,Unknown,1,IFI44,Test,999,0,Fail,0.026130871,999,999,0,
S96-A64,EMPTY3,Unknown,1,FYN,Test,18.44761348,0,Fail,0.026130871,999,999,0,
S96-A63,EMPTY3,Unknown,1,CD8A,Test,999,0,Fail,0.026130871,999,999,0,
S96-A62,EMPTY3,Unknown,1,CD274,Test,999,0,Fail,0.026130871,999,999,0,
S96-A61,EMPTY3,Unknown,1,C5,Test,999,0,Fail,0.026130871,999,999,0,
S96-A72,EMPTY3,Unknown,1,VAV1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A71,EMPTY3,Unknown,1,TBX21,Test,999,0,Fail,0.026130871,999,999,0,
S96-A70,EMPTY3,Unknown,1,RAC2,Test,23.6875239,0,Fail,0.026130871,999,76.08865966,0,
S96-A69,EMPTY3,Unknown,1,NLRP3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A68,EMPTY3,Unknown,1,IRF4,Test,999,0,Fail,0.026130871,999,999,0,
S96-A67,EMPTY3,Unknown,1,IL4,Test,999,0,Fail,0.026130871,999,999,0,
S96-A78,EMPTY3,Unknown,1,IL12RB1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A77,EMPTY3,Unknown,1,IFI44L,Test,999,0,Fail,0.026130871,999,999,0,
S96-A76,EMPTY3,Unknown,1,GAPDH,Test,999,0,Fail,0.026130871,999,999,0,
S96-A75,EMPTY3,Unknown,1,CDC42,Test,999,0,Fail,0.026130871,999,999,0,
S96-A74,EMPTY3,Unknown,1,CD28,Test,999,0,Fail,0.026130871,999,999,0,
S96-A73,EMPTY3,Unknown,1,CCR1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A84,EMPTY3,Unknown,1,ZAP70,Test,999,0,Fail,0.026130871,999,999,0,
S96-A83,EMPTY3,Unknown,1,TGFBR2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A82,EMPTY3,Unknown,1,RORC,Test,17.57934003,1,Pass,0.026130871,85.07447191,999,1,
S96-A81,EMPTY3,Unknown,1,NR4A1,Test,19.43744672,0,Fail,0.026130871,999,82.94055263,0,
S96-A80,EMPTY3,Unknown,1,IRF7,Test,999,0,Fail,0.026130871,999,999,0,
S96-A79,EMPTY3,Unknown,1,IL4R,Test,999,0,Fail,0.026130871,999,999,0,
S96-A90,EMPTY3,Unknown,1,IL17A,Test,999,0,Fail,0.026130871,999,999,0,
S96-A89,EMPTY3,Unknown,1,IFIT1,Test,999,0,Fail,0.026130871,999,999,0,
S96-A88,EMPTY3,Unknown,1,GATA3,Test,999,0,Fail,0.026130871,999,999,0,
S96-A87,EMPTY3,Unknown,1,CTLA4,Test,999,0,Fail,0.026130871,999,999,0,
S96-A86,EMPTY3,Unknown,1,CD3E,Test,999,0,Fail,0.026130871,999,999,0,
S96-A85,EMPTY3,Unknown,1,CCR2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A96,EMPTY3,Unknown,1,ZEB2,Test,999,0,Fail,0.026130871,999,999,0,
S96-A95,EMPTY3,Unknown,1,TNF,Test,999,0,Fail,0.026130871,999,999,0,
S96-A94,EMPTY3,Unknown,1,RPL13A,Test,999,0,Fail,0.026130871,999,999,0,
S96-A93,EMPTY3,Unknown,1,PDCD1,Test,25.90181511,0.952923655,Pass,0.026130871,78.94858093,999,1,
S96-A92,EMPTY3,Unknown,1,IRF9,Test,999,0,Fail,0.026130871,999,999,0,
S96-A91,EMPTY3,Unknown,1,IL5,Test,999,0,Fail,0.026130871,999,999,0,
S06-A01,UNINFL17,Unknown,1,AIM2,Test,999,0,Fail,0.026130871,999,999,0,
S06-A02,UNINFL17,Unknown,1,CCR3,Test,25.5375448,1,Pass,0.026130871,77.61225645,999,1,
S06-A03,UNINFL17,Unknown,1,CD4,Test,999,0,Fail,0.026130871,999,999,0,
S06-A04,UNINFL17,Unknown,1,CXCL10,Test,16.56085855,1,Pass,0.026130871,80.25956186,999,1,
