ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,EMPTY2,Unknown,1,AIM2,Test,999,0,Fail,0.020607309,999,999,0,
S96-A02,EMPTY2,Unknown,1,CCR3,Test,999,0,Fail,0.020607309,999,999,0,
S96-A03,EMPTY2,Unknown,1,CD4,Test,999,0,Fail,0.020607309,999,999,0,
S96-A04,EMPTY2,Unknown,1,CXCL10,Test,999,0,Fail,0.020607309,999,999,0,
S96-A05,EMPTY2,Unknown,1,GSK3A,Test,999,0,Fail,0.020607309,999,999,0,
S96-A06,EMPTY2,Unknown,1,IFIT3,Test,999,0,Fail,0.020607309,999,999,0,
S96-A07,EMPTY2,Unknown,1,IL2,Test,999,0,Fail,0.020607309,999,999,0,
S96-A08,EMPTY2,Unknown,1,IL5RA,Test,999,0,Fail,0.020607309,999,999,0,
S96-A09,EMPTY2,Unknown,1,ISG15,Test,999,0,Fail,0.020607309,999,999,0,
S96-A10,EMPTY2,Unknown,1,PPARA,Test,999,0,Fail,0.020607309,999,999,0,
S96-A11,EMPTY2,Unknown,1,SOCS3,Test,999,0,Fail,0.020607309,999,999,0,
S96-A12,EMPTY2,Unknown,1,TNFAIP3,Test,999,0,Fail,0.020607309,999,999,0,
S96-A13,EMPTY2,Unknown,1,B2M,Test,999,0,Fail,0.020607309,999,999,0,
S96-A14,EMPTY2,Unknown,1,CCR4,Test,15.18566476,0,Fail,0.020607309,999,77.00808304,0,
S96-A15,EMPTY2,Unknown,1,CD40,Test,999,0,Fail,0.020607309,999,999,0,
S96-A16,EMPTY2,Unknown,1,CXCL9,Test,999,0,Fail,0.020607309,999,999,0,
S96-A17,EMPTY2,Unknown,1,GSK3B,Test,999,0,Fail,0.020607309,999,999,0,
S96-A18,EMPTY2,Unknown,1,IFNAR1,Test,999,0,Fail,0.020607309,999,999,0,
S96-A19,EMPTY2,Unknown,1,IL21,Test,999,0,Fail,0.020607309,999,999,0,
