ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,EMPTY5,Unknown,1,AIM2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A02,EMPTY5,Unknown,1,CCR3,Test,999,0,Fail,0.020641289,999,999,0,
S96-A03,EMPTY5,Unknown,1,CD4,Test,999,0,Fail,0.020641289,999,999,0,
S96-A04,EMPTY5,Unknown,1,CXCL10,Test,999,0,Fail,0.020641289,999,999,0,
S96-A05,EMPTY5,Unknown,1,GSK3A,Test,999,0,Fail,0.020641289,999,999,0,
S96-A06,EMPTY5,Unknown,1,IFIT3,Test,999,0,Fail,0.020641289,999,999,0,
S96-A07,EMPTY5,Unknown,1,IL2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A08,EMPTY5,Unknown,1,IL5RA,Test,999,0,Fail,0.020641289,999,999,0,
S96-A09,EMPTY5,Unknown,1,ISG15,Test,999,0,Fail,0.020641289,999,999,0,
S96-A10,EMPTY5,Unknown,1,PPARA,Test,999,0,Fail,0.020641289,999,999,0,
S96-A11,EMPTY5,Unknown,1,SOCS3,Test,999,0,Fail,0.020641289,999,999,0,
S96-A12,EMPTY5,Unknown,1,TNFAIP3,Test,999,0,Fail,0.020641289,999,999,0,
S96-A13,EMPTY5,Unknown,1,B2M,Test,24.23810304,1,Pass,0.020641289,82.92668794,999,1,
S96-A14,EMPTY5,Unknown,1,CCR4,Test,14.44552049,0,Fail,0.020641289,999,76.57882809,0,
S96-A15,EMPTY5,Unknown,1,CD40,Test,999,0,Fail,0.020641289,999,999,0,
S96-A16,EMPTY5,Unknown,1,CXCL9,Test,999,0,Fail,0.020641289,999,999,0,
S96-A17,EMPTY5,Unknown,1,GSK3B,Test,999,0,Fail,0.020641289,999,999,0,
S96-A18,EMPTY5,Unknown,1,IFNAR1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A19,EMPTY5,Unknown,1,IL21,Test,999,0,Fail,0.020641289,999,999,0,
S96-A20,EMPTY5,Unknown,1,IL7,Test,999,0,Fail,0.020641289,999,999,0,
S96-A21,EMPTY5,Unknown,1,JAK1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A22,EMPTY5,Unknown,1,PPARG,Test,999,0,Fail,0.020641289,999,999,0,
S96-A23,EMPTY5,Unknown,1,STAT1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A24,EMPTY5,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.020641289,999,999,0,
S96-A25,EMPTY5,Unknown,1,BCL2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A26,EMPTY5,Unknown,1,CCR5,Test,999,0,Fail,0.020641289,999,999,0,
S96-A27,EMPTY5,Unknown,1,CD44,Test,999,0,Fail,0.020641289,999,999,0,
S96-A28,EMPTY5,Unknown,1,CXCR3,Test,999,0,Fail,0.020641289,999,999,0,
S96-A29,EMPTY5,Unknown,1,HLA-DRA,Test,999,0,Fail,0.020641289,999,999,0,
S96-A30,EMPTY5,Unknown,1,IFNAR2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A31,EMPTY5,Unknown,1,IL25,Test,999,0,Fail,0.020641289,999,999,0,
S96-A32,EMPTY5,Unknown,1,IL7R,Test,999,0,Fail,0.020641289,999,999,0,
S96-A33,EMPTY5,Unknown,1,JAK2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A34,EMPTY5,Unknown,1,PPARGC1A,Test,999,0,Fail,0.020641289,999,999,0,
S96-A35,EMPTY5,Unknown,1,STAT3,Test,999,0,Fail,0.020641289,999,999,0,
