ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,UCM17 Blood 5,Unknown,1,AIM2,Test,999,0,Fail,0.018201155,999,999,0,
S96-A02,UCM17 Blood 5,Unknown,1,CCR3,Test,16.66088272,0,Fail,0.018201155,999,999,0,
S96-A03,UCM17 Blood 5,Unknown,1,CD4,Test,999,0,Fail,0.018201155,999,999,0,
S96-A04,UCM17 Blood 5,Unknown,1,CXCL10,Test,15.63438817,1,Pass,0.018201155,80.61954061,999,1,
S96-A05,UCM17 Blood 5,Unknown,1,GSK3A,Test,17.08445689,1,Pass,0.018201155,83.74131957,999,1,
S96-A06,UCM17 Blood 5,Unknown,1,IFIT3,Test,15.09635014,1,Pass,0.018201155,79.93970322,999,1,
S96-A07,UCM17 Blood 5,Unknown,1,IL2,Test,999,0,Fail,0.018201155,999,999,0,
S96-A08,UCM17 Blood 5,Unknown,1,IL5RA,Test,999,0,Fail,0.018201155,999,999,0,
S96-A09,UCM17 Blood 5,Unknown,1,ISG15,Test,999,0,Fail,0.018201155,999,999,0,
S96-A10,UCM17 Blood 5,Unknown,1,PPARA,Test,999,0,Fail,0.018201155,999,999,0,
S96-A11,UCM17 Blood 5,Unknown,1,SOCS3,Test,20.16086305,1,Pass,0.018201155,86.76028143,999,1,
S96-A12,UCM17 Blood 5,Unknown,1,TNFAIP3,Test,17.64632036,0,Fail,0.018201155,999,84.63785311,0,
S96-A13,UCM17 Blood 5,Unknown,1,B2M,Test,11.32484991,1,Pass,0.018201155,83.73398145,67.02549476,0.958491798,
S96-A14,UCM17 Blood 5,Unknown,1,CCR4,Test,14.97500371,0,Fail,0.018201155,999,77.23180225,0,
S96-A15,UCM17 Blood 5,Unknown,1,CD40,Test,15.11121521,1,Pass,0.018201155,87.59862891,999,1,
S96-A16,UCM17 Blood 5,Unknown,1,CXCL9,Test,999,0,Fail,0.018201155,999,999,0,
S96-A17,UCM17 Blood 5,Unknown,1,GSK3B,Test,999,0,Fail,0.018201155,999,999,0,
S96-A18,UCM17 Blood 5,Unknown,1,IFNAR1,Test,999,0,Fail,0.018201155,999,999,0,
S96-A19,UCM17 Blood 5,Unknown,1,IL21,Test,999,0,Fail,0.018201155,999,999,0,
S96-A20,UCM17 Blood 5,Unknown,1,IL7,Test,999,0,Fail,0.018201155,999,999,0,
S96-A21,UCM17 Blood 5,Unknown,1,JAK1,Test,17.65232983,0,Fail,0.018201155,999,999,0,
S96-A22,UCM17 Blood 5,Unknown,1,PPARG,Test,999,0,Fail,0.018201155,999,999,0,
S96-A23,UCM17 Blood 5,Unknown,1,STAT1,Test,13.31179616,1,Pass,0.018201155,81.90207415,999,1,
S96-A24,UCM17 Blood 5,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.018201155,999,999,0,
S96-A25,UCM17 Blood 5,Unknown,1,BCL2,Test,17.76413082,0,Fail,0.018201155,999,999,0,
S96-A26,UCM17 Blood 5,Unknown,1,CCR5,Test,15.87241762,1,Pass,0.018201155,80.97197189,999,1,
S96-A27,UCM17 Blood 5,Unknown,1,CD44,Test,15.15477528,1,Pass,0.018201155,87.56359431,999,1,
S96-A28,UCM17 Blood 5,Unknown,1,CXCR3,Test,16.91935154,1,Pass,0.018201155,86.85756115,999,1,
S96-A29,UCM17 Blood 5,Unknown,1,HLA-DRA,Test,999,0,Fail,0.018201155,999,999,0,
S96-A30,UCM17 Blood 5,Unknown,1,IFNAR2,Test,16.8774283,1,Pass,0.018201155,81.89260239,999,1,
S96-A31,UCM17 Blood 5,Unknown,1,IL25,Test,17.02036409,0,Fail,0.018201155,999,999,0,
S96-A32,UCM17 Blood 5,Unknown,1,IL7R,Test,12.70917994,0,Fail,0.018201155,999,999,0,
S96-A33,UCM17 Blood 5,Unknown,1,JAK2,Test,19.2702562,0,Fail,0.018201155,999,78.83620087,0,
S96-A34,UCM17 Blood 5,Unknown,1,PPARGC1A,Test,999,0,Fail,0.018201155,999,999,0,
S96-A35,UCM17 Blood 5,Unknown,1,STAT3,Test,999,0,Fail,0.018201155,999,999,0,
S96-A36,UCM17 Blood 5,Unknown,1,TNFRSF1B,Test,999,0,Fail,0.018201155,999,999,0,
S96-A37,UCM17 Blood 5,Unknown,1,BCL6,Test,999,0,Fail,0.018201155,999,999,0,
S96-A38,UCM17 Blood 5,Unknown,1,CCR6,Test,14.75150953,0,Fail,0.018201155,999,999,0,
S96-A39,UCM17 Blood 5,Unknown,1,CD52,Test,13.98036435,1,Pass,0.018201155,79.78611087,999,1,
S96-A40,UCM17 Blood 5,Unknown,1,CXCR4,Test,13.52967235,0,Fail,0.018201155,999,999,0,
S96-A41,UCM17 Blood 5,Unknown,1,ICAM1,Test,18.76217279,0,Fail,0.018201155,999,89.68147827,0,
S96-A42,UCM17 Blood 5,Unknown,1,IFNG,Test,999,0,Fail,0.018201155,999,999,0,
S96-A43,UCM17 Blood 5,Unknown,1,IL2RA,Test,999,0,Fail,0.018201155,999,999,0,
S96-A44,UCM17 Blood 5,Unknown,1,IRF1,Test,14.65563194,0,Fail,0.018201155,999,999,0,
S96-A45,UCM17 Blood 5,Unknown,1,LY6E,Test,19.85790775,0,Fail,0.018201155,999,90.339375,0,
S96-A46,UCM17 Blood 5,Unknown,1,PTEN,Test,13.72791189,1,Pass,0.018201155,79.76507424,999,1,
S96-A47,UCM17 Blood 5,Unknown,1,STAT4,Test,16.35168825,1,Pass,0.018201155,80.66698332,999,1,
S96-A48,UCM17 Blood 5,Unknown,1,TRAF2,Test,999,0,Fail,0.018201155,999,999,0,
S96-A54,UCM17 Blood 5,Unknown,1,IFNGR1,Test,21.11402737,0,Fail,0.018201155,999,80.60345406,0,
S96-A53,UCM17 Blood 5,Unknown,1,ICOS,Test,999,0,Fail,0.018201155,999,999,0,
S96-A52,UCM17 Blood 5,Unknown,1,FOXP3,Test,999,0,Fail,0.018201155,999,999,0,
S96-A51,UCM17 Blood 5,Unknown,1,CD53,Test,999,0,Fail,0.018201155,999,999,0,
S96-A50,UCM17 Blood 5,Unknown,1,CCR7,Test,15.50689506,1,Pass,0.018201155,81.907135,999,1,
S96-A49,UCM17 Blood 5,Unknown,1,C3,Test,999,0,Fail,0.018201155,999,999,0,
S96-A60,UCM17 Blood 5,Unknown,1,TYK2,Test,17.7521864,0,Fail,0.018201155,999,999,0,
