ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,Empty28,Unknown,1,AIM2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A02,Empty28,Unknown,1,CCR3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A03,Empty28,Unknown,1,CD4,Test,999,0,Fail,0.02010626,999,999,0,
S96-A04,Empty28,Unknown,1,CXCL10,Test,999,0,Fail,0.02010626,999,999,0,
S96-A05,Empty28,Unknown,1,GSK3A,Test,999,0,Fail,0.02010626,999,999,0,
S96-A06,Empty28,Unknown,1,IFIT3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A07,Empty28,Unknown,1,IL2,Test,25.7853295,0,Fail,0.02010626,999,73.11273883,0,
S96-A08,Empty28,Unknown,1,IL5RA,Test,999,0,Fail,0.02010626,999,999,0,
S96-A09,Empty28,Unknown,1,ISG15,Test,999,0,Fail,0.02010626,999,999,0,
S96-A10,Empty28,Unknown,1,PPARA,Test,999,0,Fail,0.02010626,999,999,0,
S96-A11,Empty28,Unknown,1,SOCS3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A12,Empty28,Unknown,1,TNFAIP3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A13,Empty28,Unknown,1,B2M,Test,999,0,Fail,0.02010626,999,999,0,
S96-A14,Empty28,Unknown,1,CCR4,Test,15.22276168,0,Fail,0.02010626,999,77.12609918,0,
S96-A15,Empty28,Unknown,1,CD40,Test,999,0,Fail,0.02010626,999,999,0,
S96-A16,Empty28,Unknown,1,CXCL9,Test,999,0,Fail,0.02010626,999,999,0,
S96-A17,Empty28,Unknown,1,GSK3B,Test,999,0,Fail,0.02010626,999,999,0,
S96-A18,Empty28,Unknown,1,IFNAR1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A19,Empty28,Unknown,1,IL21,Test,999,0,Fail,0.02010626,999,999,0,
S96-A20,Empty28,Unknown,1,IL7,Test,999,0,Fail,0.02010626,999,999,0,
S96-A21,Empty28,Unknown,1,JAK1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A22,Empty28,Unknown,1,PPARG,Test,999,0,Fail,0.02010626,999,999,0,
S96-A23,Empty28,Unknown,1,STAT1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A24,Empty28,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.02010626,999,999,0,
S96-A25,Empty28,Unknown,1,BCL2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A26,Empty28,Unknown,1,CCR5,Test,999,0,Fail,0.02010626,999,999,0,
S96-A27,Empty28,Unknown,1,CD44,Test,23.39626023,0,Fail,0.02010626,999,999,0,
S96-A28,Empty28,Unknown,1,CXCR3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A29,Empty28,Unknown,1,HLA-DRA,Test,999,0,Fail,0.02010626,999,999,0,
S96-A30,Empty28,Unknown,1,IFNAR2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A31,Empty28,Unknown,1,IL25,Test,999,0,Fail,0.02010626,999,999,0,
S96-A32,Empty28,Unknown,1,IL7R,Test,999,0,Fail,0.02010626,999,999,0,
S96-A33,Empty28,Unknown,1,JAK2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A34,Empty28,Unknown,1,PPARGC1A,Test,999,0,Fail,0.02010626,999,999,0,
S96-A35,Empty28,Unknown,1,STAT3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A36,Empty28,Unknown,1,TNFRSF1B,Test,28.65931915,0,Fail,0.02010626,999,71.18702632,0,
S96-A37,Empty28,Unknown,1,BCL6,Test,999,0,Fail,0.02010626,999,999,0,
S96-A38,Empty28,Unknown,1,CCR6,Test,999,0,Fail,0.02010626,999,999,0,
S96-A39,Empty28,Unknown,1,CD52,Test,999,0,Fail,0.02010626,999,999,0,
S96-A40,Empty28,Unknown,1,CXCR4,Test,999,0,Fail,0.02010626,999,999,0,
S96-A41,Empty28,Unknown,1,ICAM1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A42,Empty28,Unknown,1,IFNG,Test,999,0,Fail,0.02010626,999,999,0,
S96-A43,Empty28,Unknown,1,IL2RA,Test,999,0,Fail,0.02010626,999,999,0,
S96-A44,Empty28,Unknown,1,IRF1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A45,Empty28,Unknown,1,LY6E,Test,999,0,Fail,0.02010626,999,999,0,
S96-A46,Empty28,Unknown,1,PTEN,Test,999,0,Fail,0.02010626,999,999,0,
S96-A47,Empty28,Unknown,1,STAT4,Test,999,0,Fail,0.02010626,999,999,0,
S96-A48,Empty28,Unknown,1,TRAF2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A54,Empty28,Unknown,1,IFNGR1,Test,23.33301772,0,Fail,0.02010626,999,77.0916957,0,
S96-A53,Empty28,Unknown,1,ICOS,Test,999,0,Fail,0.02010626,999,999,0,
S96-A52,Empty28,Unknown,1,FOXP3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A51,Empty28,Unknown,1,CD53,Test,999,0,Fail,0.02010626,999,999,0,
S96-A50,Empty28,Unknown,1,CCR7,Test,999,0,Fail,0.02010626,999,999,0,
S96-A49,Empty28,Unknown,1,C3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A60,Empty28,Unknown,1,TYK2,Test,27.80855489,0,Fail,0.02010626,999,999,0,
S96-A59,Empty28,Unknown,1,STAT5B,Test,999,0,Fail,0.02010626,999,999,0,
S96-A58,Empty28,Unknown,1,RAC1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A57,Empty28,Unknown,1,NFKB1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A56,Empty28,Unknown,1,IRF2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A55,Empty28,Unknown,1,IL3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A66,Empty28,Unknown,1,IL10,Test,999,0,Fail,0.02010626,999,999,0,
S96-A65,Empty28,Unknown,1,IFI44,Test,999,0,Fail,0.02010626,999,999,0,
S96-A64,Empty28,Unknown,1,FYN,Test,999,0,Fail,0.02010626,999,999,0,
S96-A63,Empty28,Unknown,1,CD8A,Test,999,0,Fail,0.02010626,999,999,0,
S96-A62,Empty28,Unknown,1,CD274,Test,999,0,Fail,0.02010626,999,999,0,
S96-A61,Empty28,Unknown,1,C5,Test,999,0,Fail,0.02010626,999,999,0,
S96-A72,Empty28,Unknown,1,VAV1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A71,Empty28,Unknown,1,TBX21,Test,999,0,Fail,0.02010626,999,999,0,
S96-A70,Empty28,Unknown,1,RAC2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A69,Empty28,Unknown,1,NLRP3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A68,Empty28,Unknown,1,IRF4,Test,999,0,Fail,0.02010626,999,999,0,
S96-A67,Empty28,Unknown,1,IL4,Test,999,0,Fail,0.02010626,999,999,0,
S96-A78,Empty28,Unknown,1,IL12RB1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A77,Empty28,Unknown,1,IFI44L,Test,999,0,Fail,0.02010626,999,999,0,
S96-A76,Empty28,Unknown,1,GAPDH,Test,999,0,Fail,0.02010626,999,999,0,
S96-A75,Empty28,Unknown,1,CDC42,Test,26.16812715,0,Fail,0.02010626,999,74.89890302,0,
S96-A74,Empty28,Unknown,1,CD28,Test,17.32373812,1,Pass,0.02010626,80.29920892,999,1,
S96-A73,Empty28,Unknown,1,CCR1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A84,Empty28,Unknown,1,ZAP70,Test,999,0,Fail,0.02010626,999,999,0,
S96-A83,Empty28,Unknown,1,TGFBR2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A82,Empty28,Unknown,1,RORC,Test,999,0,Fail,0.02010626,999,999,0,
S96-A81,Empty28,Unknown,1,NR4A1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A80,Empty28,Unknown,1,IRF7,Test,999,0,Fail,0.02010626,999,999,0,
S96-A79,Empty28,Unknown,1,IL4R,Test,999,0,Fail,0.02010626,999,999,0,
S96-A90,Empty28,Unknown,1,IL17A,Test,999,0,Fail,0.02010626,999,999,0,
S96-A89,Empty28,Unknown,1,IFIT1,Test,999,0,Fail,0.02010626,999,999,0,
S96-A88,Empty28,Unknown,1,GATA3,Test,999,0,Fail,0.02010626,999,999,0,
S96-A87,Empty28,Unknown,1,CTLA4,Test,999,0,Fail,0.02010626,999,999,0,
S96-A86,Empty28,Unknown,1,CD3E,Test,999,0,Fail,0.02010626,999,999,0,
S96-A85,Empty28,Unknown,1,CCR2,Test,999,0,Fail,0.02010626,999,999,0,
S96-A96,Empty28,Unknown,1,ZEB2,Test,999,0,Fail,0.02010626,999,999,0,
